Time(Iteration),oracleLinUCB,LinUCB,adTS,dLinUCB,CLUB,DyClu
0,19.440583600993772,28.225252521004716,30.177180397079105,28.225252521004716,23.885125524763588,24.84322208787862
1,24.471053635869417,57.09816794346587,58.218345062350664,57.368871171203736,45.2224403127453,48.09051168334388
2,27.766331303490812,81.23382487347824,80.94409435069812,88.09256922077458,66.78205303518722,69.33981103296918
3,29.447579452586417,101.81977574357056,103.78765670692488,111.23116320975592,85.62881910538005,90.91711544582694
4,30.853167780541657,123.38367766837037,126.64352223325885,132.68752627912778,106.8256846316495,113.67174874175294
5,31.716410234786323,141.949502402144,146.2957084802239,156.92039750649224,126.8465611250971,132.1140305047081
6,32.71782925642425,163.14964097404214,167.01705114903447,180.07396450507738,151.06504595982324,151.16946111124187
7,33.611378317990415,179.96918588829374,185.85308621035526,203.45818602099777,176.51790648814128,171.3123854342433
8,34.1316588967201,198.4621622903433,205.6558946006449,231.83091207937872,198.31307148541796,187.57128625609437
9,34.715399171690585,211.23825895135565,227.09000436681066,252.0952139656172,218.18697930175216,206.55408156381222
10,35.29098712606257,225.43879854040807,245.06706714665046,271.86095416932363,237.86579091468772,222.92250307643346
11,35.89279681672628,239.33259496179284,266.156413851179,293.62032565535566,256.7476002440364,237.35496241397965
12,36.21615974554461,255.16515205727677,283.5858867440222,313.05141195474806,276.3305192520386,251.9054648953407
13,36.530651349360475,266.58976066462435,298.0445622146871,331.4765125695965,296.534239809965,265.94719726175464
14,37.201100731758814,278.24609559711286,311.2173788033902,351.67390901339945,314.53203578631974,275.7823503225687
15,37.53713477423895,289.398559797376,325.2467410712734,374.96098603462883,330.9174136182222,283.037717611667
16,37.77301655487392,303.00857175729806,339.04198699474915,395.31473827949407,349.3012887199206,288.90462198924797
17,38.24967225260823,313.94461634154953,353.6488395807289,414.4653738686479,369.2503114546287,294.3649220566118
18,38.67375940777992,325.7993536435492,366.44423214675925,437.28763794935486,386.6051541001847,297.81289087250536
19,38.96797019227329,337.91646887094134,380.3696200943658,454.85909785007004,402.9192829166612,300.6488029514031
20,39.25695003341848,349.60930380809145,395.5351292944288,471.6309742590444,420.28683820557916,303.25462656228814
21,39.54426548840193,357.5970683505722,407.73648022617425,487.1855401462668,436.1274499111737,305.08830972223996
22,39.69565980923121,366.90025162246883,420.3296717651361,506.6730098667471,448.868800209469,306.7145994196954
23,40.116653915697405,375.2188589431803,431.08399266033655,522.7148739623744,459.1756059395383,307.784205944011
24,40.426188963728016,384.12014887527005,440.3173895120049,537.6416232080962,470.22797736261583,308.66223424904047
25,40.63082997857454,392.0797330747524,451.3173666390699,551.8368230245327,479.05944971434207,309.49742150211137
26,40.703208523071105,397.8265838988712,462.87504524053764,566.3579403770698,485.22820215853073,310.04193759654737
27,40.83214302212858,404.745612737531,471.95459209664193,578.5086403014247,491.0710096819083,310.6611019546598
28,40.96457282398547,412.3737221978672,481.05454074916923,589.7789676091746,497.7327931162588,311.18999152002044
29,41.11627350448863,417.42793014745126,489.31023779378535,602.8373628579919,502.94640857018715,311.4231161132781
30,41.28900610663388,423.11420701077697,497.79823460699754,613.3893591597308,507.29358585689874,311.71471570198247
31,41.44410438107214,428.2979993672827,507.8471551799589,625.6804556556178,512.1098782854982,311.98037983646066
32,41.56354927831765,432.6994110876731,515.2650387522702,635.2960624462105,515.4887638808015,312.33579735713437
33,41.803221008852354,438.94536738374023,522.4503544184896,644.9319155396634,518.4335635767337,312.8994802085294
34,41.9113682692053,443.04598029595803,529.4758955562568,656.4671462453309,522.4552080376469,313.1708912314484
35,42.023557048293405,447.89997074227813,535.3358473347887,665.7318500656183,525.7984151149285,313.3717205490437
36,42.114527096786794,450.096633704923,541.8961225039706,675.7296879670234,528.3350314184878,313.4389563740605
37,42.24290357003848,454.43412675062143,547.7421512138081,683.6996183680536,531.4863737050225,313.59673363716973
38,42.44541611222951,458.99553711136434,552.4209036855972,690.3764542873754,535.1206992609066,313.93599930870175
39,42.596047370575576,464.07209019125054,560.4255205058064,698.5930792559576,539.0926416569948,314.2112998286056
40,42.739962181177276,466.6334459852626,566.8586269688986,706.257796788395,542.4101469150446,314.5324511352518
41,42.7933764138145,469.60044590318535,571.6407512687355,712.0491849097052,545.9557426138248,314.6445849798937
42,42.974304257731944,473.6879851563062,577.496135359014,719.1380784576671,549.8297090725084,314.94986840270434
43,43.10162426187956,476.9151704047876,583.4492381083162,726.6486466221427,552.6089775479838,315.17550742048513
