Time(Iteration),oracleLinUCB,LinUCB,adTS,dLinUCB,CLUB,DyClu
0,17.157487626529477,32.15103915781535,30.696908028748595,32.15103915781535,26.0709160785966,26.43268321488934
1,23.7500792511357,60.67087049840089,64.52286902606615,61.77373723660905,47.789518620409105,51.93350523222114
2,26.359634389252424,87.6258493208358,94.2426463292566,87.82755746156667,69.41296229019484,75.40022456046519
3,28.04078586985384,109.24340092880844,122.54206995482876,115.06725011088116,89.06022924009564,96.70015127900145
4,30.023745197094325,134.16276888176864,148.62932686535083,143.2985764890653,107.79462879016344,115.25449067304262
5,31.192771670627245,154.12770532982796,168.76487447719052,167.16219983502987,126.394062586154,133.19101666137016
6,32.03224281409985,173.52128812648127,188.3354567404848,191.14589852282631,146.99293801420137,151.7914818539223
7,32.67751024027876,190.5895033820323,211.4955802517309,215.92223384307067,167.51646461837132,172.77068367882052
8,33.187881188945084,210.20435794189606,232.87372823050822,240.6201405816145,191.2492160760115,187.36354578170767
9,33.54531603634707,227.31042167148135,254.31790851735158,262.04236927738657,212.2278545631912,204.12552038879747
10,33.87318173337384,242.24564773892658,274.55389881354876,286.1409470278874,237.55203644576818,222.1165460531529
11,34.31040240718557,257.0011066027282,291.0201853169642,308.21681370679323,259.32484945960135,237.40808392510664
12,34.464213315131005,271.76959748603906,307.26968333558733,330.32968207613237,281.2844905363472,256.25619768387423
13,34.66468019369841,284.3733092283127,319.23870707779827,351.1787988306654,299.3152752541989,268.6863641521923
14,34.95834572291874,296.32523411031553,333.6354490599036,373.8492978098981,316.1520601491057,275.0144335996454
15,35.2880951468006,308.44986999593186,347.8052447339488,392.31442707822896,337.6476846734805,282.96075424872237
16,35.6264666722287,318.1763440811078,361.7295031922855,411.76718496477116,353.60665060124796,286.96959239411615
17,35.993105039895774,329.37236006614705,373.73738659733954,429.68890274515957,370.18369781484836,292.7892277322961
18,36.336289434902476,339.8510200921239,386.01527390637415,450.61072793875934,384.8591326053036,295.786528991818
19,36.70242629120499,350.3171853243943,397.3949822863085,470.3018794081736,399.053614742628,298.4594050338049
20,36.75897861655352,358.57160269831917,409.6539102326522,488.88953067549596,413.4605579049521,300.05885940393813
