Time(Iteration),oracleLinUCBTheta,LinUCBTheta,adTSTheta,dLinUCBTheta,DyCluTheta
0,0.8489008280813879,0.9849961676149596,0.9866838387969163,0.9849961676149596,0.9876637402902627
1,0.571150248522669,0.9674876739619341,0.972566008470958,0.9667403124841423,0.9691644669858342
2,0.4156166259379281,0.9544727277614359,0.9558990062415518,0.9459656323171957,0.9455991494650235
3,0.34201998207852796,0.9339776481063349,0.9409572832246187,0.9282639802332042,0.927273574407129
4,0.29062074978190827,0.9150278537030405,0.927123011533111,0.9099801292042917,0.9020304607546524
5,0.259983940927116,0.8983167511355599,0.9117241189289298,0.8876659120674133,0.8784268412238471
6,0.2285491830695051,0.8794390386307014,0.8994982372510847,0.859912011094981,0.8610167818062198
7,0.21199821910403738,0.8628979451620761,0.887216770238181,0.8419425711112254,0.8428890719294112
8,0.19557384581753887,0.8429781437681864,0.8741323678752196,0.8251878515874234,0.8213875724779242
9,0.19062286207822932,0.8214490900041583,0.859856839455086,0.8033312447890464,0.805030000976724
10,0.18555529774907317,0.7960027055968584,0.8475606770360713,0.7833206274590403,0.7872631420211627
11,0.18474381358018943,0.7728667063931504,0.8332872650743167,0.765030252102982,0.7707039367509603
12,0.17420366368221857,0.7516129899859625,0.8187738597109429,0.7467383905386988,0.7597577722217947
13,0.17284081459956327,0.7348805075931795,0.8079552686614765,0.7277790935400787,0.7420167246464527
14,0.16717909845950185,0.7182348809519972,0.797892742589622,0.7122299390762548,0.721004510240899
15,0.16679587003942753,0.702467154188267,0.7904142004598512,0.6993358019943742,0.7119439965334888
16,0.16350019324689394,0.6835363058598211,0.7771256650749511,0.6801175381175688,0.6992837979808887
17,0.1632025973759492,0.6760221145107447,0.7687516442320563,0.6552153630468015,0.6817175718285013
18,0.15394540076892782,0.6606146027417134,0.7606176078503469,0.6414238722251144,0.6723701538222617
19,0.14354128255458254,0.6475322734113813,0.7494682863138468,0.6262639518611046,0.6550492310520397
20,0.13451916441838713,0.6333473003814875,0.7375669222072706,0.6159433726068039,0.6473324169357316
21,0.1300654633269321,0.6212647172014719,0.727019117572835,0.6013703970976582,0.6328183341016717
22,0.1257712469749121,0.607677289024404,0.715807500864903,0.5871636502347132,0.6180025608378569
23,0.11779137941432069,0.6037737918696169,0.7072245485192441,0.5753823003353699,0.6099364865406911
24,0.11568726133145639,0.5858978080280113,0.6976713506651885,0.5658279373738029,0.6032324676605687
25,0.11324307353147411,0.5762273206642159,0.6878788688042228,0.5528224687555603,0.5976583920504025
26,0.11153188332251963,0.571549221925553,0.6790448333834533,0.5477726545391708,0.5928175239757845
27,0.10572062460955622,0.5685812139748424,0.6730405947095316,0.5409912276186115,0.586968453621593
28,0.10406023224248287,0.5604464627370548,0.6659474319836108,0.5357896141904157,0.5802586772319198
29,0.1029297927213832,0.549615487805309,0.6573675197167471,0.5293969291525028,0.5726081878859567
30,0.10330254919379316,0.541229851765441,0.6486887730741087,0.5145329062168333,0.562095611070646
31,0.09837563821669677,0.5374052305793416,0.6393386017559115,0.5111677422817084,0.5540080872605637
32,0.09646875700670687,0.5314148484336645,0.6310035994024333,0.4993618911944806,0.5487777140836463
33,0.09480427255946791,0.5239096862391294,0.6258012430161394,0.4970653016367986,0.5414458309435582
34,0.0959647370636829,0.5208399940958445,0.6194899688363636,0.49269453911346917,0.538931174116187
35,0.09598989850630386,0.5134318101939844,0.6133564409475118,0.486104538004348,0.5353494683450816
36,0.09384815510064275,0.5032102015969944,0.6062935386988307,0.4847181893948837,0.5298701867857025
37,0.09331288961934091,0.4987728572292308,0.5989689123071738,0.4747697889822281,0.5233353251049022
38,0.09576309766147106,0.49535041944453584,0.592767241416067,0.461505281323021,0.5160646081766234
39,0.09528444875886725,0.4911020216813454,0.5854008503731566,0.4542817476684491,0.5136440596892217
40,0.09653062845300733,0.4840290852554633,0.5777238222053501,0.4501882943775908,0.5071773929883481
41,0.0969513933660633,0.47932653638618883,0.5712665914881473,0.4425525100203202,0.5024570849088448
42,0.09830973665880975,0.4701341527840433,0.5633704003795861,0.43661441592090905,0.4961191636482641
43,0.09707851511135984,0.46346522705375903,0.5569819367365471,0.4365843170068333,0.49181331768758807
44,0.0940689041371374,0.4583434001039336,0.5508633184936547,0.4297421744450428,0.4894208555620984
45,0.08964531082953325,0.4539829194260119,0.545217958590551,0.42905058128565016,0.4863134768423937
46,0.08449505332624702,0.4496016766511461,0.5405353869806234,0.424177402020465,0.48384427924613205
47,0.08295299653170173,0.44541590558920774,0.535207387645032,0.4195204531971604,0.4772824605178387
